rank,variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,mean_train_auc,mean_test_auc,mean_generalization_gap,mean_q_test_auc,mean_alpha_test_auc,mean_beta_test_auc,mean_drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility,is_current_baseline
1,direct_drift_ridge_top4,direct_drift,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,,,,ridge,True,Direct quadratic ridge regression on delta-utility over the current top-4 observables.,0.6710598210159807,0.5889622614395937,0.08209755957638698,,,,0.5889622614395937,,,0.5358333333333334,0.32158333333333333,0.15434722222222222,False
2,hazard_quadratic_combo_entropymean_entropystd_confidence_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, confidence, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7214516432938123,0.6150768781915272,0.10637476510228502,0.598725668463727,0.6090803647608831,0.6374246013499715,,0.21058021102448438,0.30482955244903115,0.5111111111111111,0.25122222222222224,0.22470833333333334,False
3,direct_drift_hgb_top4,direct_drift,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,,,,hist_gb,False,Direct histogram gradient-boosted regression on delta-utility over the current top-4 observables.,0.7600689941511827,0.6106688887519502,0.14940010539923246,,,,0.6106688887519502,,,0.5061111111111111,0.3766666666666667,0.0992638888888889,False
4,hazard_linear_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with linear logistic heads over the current top-4 observables.,0.6706911380680103,0.6361196155084408,0.03457152255956958,0.6375643517159529,0.5971659827044176,0.6736285121049518,,0.22708761600556765,0.31344498601346504,0.49777777777777776,0.3199444444444444,0.1559861111111111,False
5,hazard_quadratic_top4_kl,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_kl_divergence",4,logistic,logistic,logistic,,True,Quadratic hazard equation replacing hidden L2 drift with KL divergence.,0.6928401562872945,0.6307029210955681,0.06213723519172629,0.645746905355958,0.5959745430093861,0.65038731492136,,0.22376399321266896,0.3019581368111757,0.4661111111111111,0.32708333333333334,0.14884722222222221,False
6,hazard_quadratic_combo_entropystd_confidence_answerchanged_thoughttokencount,hazard,quadratic,"entropy_std, confidence, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.735979837091496,0.6182979743604226,0.11768186273107337,0.6304338274509469,0.6001313069211464,0.6243287887091744,,0.20755242853005362,0.2968412637636126,0.4627777777777778,0.27868055555555554,0.19724999999999998,False
7,hazard_quadratic_combo_confidence_hiddenl2shift_answerchanged_thoughttokencount,hazard,quadratic,"confidence, hidden_l2_shift, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7463382392895249,0.6050161043241574,0.14132213496536752,0.6158874730101503,0.5977679423487907,0.6013928976135313,,0.2046974008110356,0.2947036808649923,0.4622222222222222,0.3042361111111111,0.17169444444444446,False
8,hazard_quadratic_combo_entropymean_confidence_answerchanged_thoughttokencount,hazard,quadratic,"entropy_mean, confidence, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7368071943257799,0.6248157216854854,0.11199147264029452,0.6325248928196467,0.6197340640499613,0.6221882081868482,,0.20739817229023963,0.2974894700388252,0.45944444444444443,0.2865277777777778,0.18940277777777778,False
9,hazard_quadratic_combo_entropystd_confidence_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_std, confidence, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7315688048292022,0.6031368133226347,0.12843199150656745,0.6037170494562498,0.5851272528377562,0.620566137673898,,0.20677799218800405,0.2991372255641282,0.44666666666666666,0.25925000000000004,0.21668055555555554,False
10,hazard_quadratic_combo_entropystd_confidence_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_std, confidence, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7448705068657941,0.6126187879477228,0.1322517189180713,0.6276385233553217,0.5953935840041327,0.6148242564837142,,0.20561102327060396,0.2864951690242755,0.4438888888888889,0.31808333333333333,0.1578472222222222,False
